Obj,ID,Name,Name_De,image,Desc,Desc_De,PosChars,NegChars,Fate,Apt,Wounds,Bonus
penal,11,Penal Colony,Strafkolonie,penal.png,"Penal colonies are harsh, isolated worlds where criminals, political prisoners, and other undesirables are sent as punishment. Life is brutal, with forced labor, constant surveillance, and minimal chances of escape. Survival depends on strength, cunning, and submission to the colony's oppressive authority.","Strafkolonien sind raue, isolierte Welten, auf die Kriminelle, politische Gefangene und andere Unerwünschte als Strafe verbannt werden. Das Leben ist brutal, geprägt von Zwangsarbeit, ständiger Überwachung und kaum vorhandenen Fluchtmöglichkeiten. Das Überleben hängt von Stärke, Gerissenheit und der Unterwerfung unter die unterdrückende Autorität der Kolonie ab.",T|Per,Int,3|8,T,10+1d5,
research,12,Research Station,Forschungsstation,research.png,"Research stations are isolated installations dedicated to scientific exploration, technological development, and secret Imperial projects. They are often located in remote or dangerous areas to ensure security and limit outside interference. Life on these stations is focused on relentless study, innovation, and often dangerous experimentation.","Forschungsstationen sind abgelegene Einrichtungen, die wissenschaftlicher Erforschung, technologischer Entwicklung und geheimen Projekten des Imperiums dienen. Sie befinden sich häufig in entlegenen oder gefährlichen Gegenden, um Sicherheit zu gewährleisten und äußere Störungen zu vermeiden. Das Leben auf diesen Stationen ist geprägt von unermüdlicher Forschung, Innovation und oft riskanten Experimenten.",Int|Per,Fel,3|8,Knowledge,8+1d5,
shrine,13,Shrine World,Pilgerwelt,shrine.png,"Shrine worlds are planets dedicated to the worship of the Emperor and serve as spiritual centers of the Imperium. They are home to grand cathedrals, holy relics, and countless pilgrims seeking redemption or inspiration. The Ecclesiarchy maintains strict control, ensuring unwavering faith and devotion among the populace.","Pilgerwelten, auch Heiligenwelten genannt, sind Planeten, die der Verehrung des Imperators gewidmet sind und als spirituelle Zentren des Imperiums dienen. Sie beherbergen prächtige Kathedralen, heilige Reliquien und unzählige Pilger, die nach Erlösung oder göttlicher Inspiration suchen. Die Ekklesiarchie übt strenge Kontrolle aus, um den unerschütterlichen Glauben und die Hingabe der Bevölkerung sicherzustellen.",Fel|WP,Per,3|6,WP,7+1d5,
void,14,Voidborn,Weltraumgeborener,void.png,"Voidborn are individuals born and raised aboard colossal starships or space stations. Their lives are shaped by the cold, dark expanse of space, leading to a pallid appearance and a mysterious, often unsettling demeanor. They are accustomed to harsh environments, isolation, and the strange ways of the Warp."," Weltraumgeborene sind Individuen, die an Bord riesiger Raumschiffe oder Raumstationen geboren und aufgewachsen sind. Ihr Leben wird durch die kalte, dunkle Weite des Weltraums geprägt, was ihnen ein bleiches Aussehen und eine geheimnisvolle, oft unheimliche Ausstrahlung verleiht. Sie sind an raue Umgebungen, Isolation und die seltsamen Eigenheiten des Warp gewöhnt.",Int|WP,S,3|5,Int,7+1d5,
quarantine,15,Quarantine World,Quarantänewelt,quarantine.png,"Quarantine worlds are planets placed under strict Imperial isolation due to dangerous contagions, Warp corruption, or unknown alien threats. Entire populations may be sealed off or eradicated to prevent the spread of the danger. Life on such worlds is bleak, with constant monitoring, harsh living conditions, and little hope of escape.","Quarantänewelten sind Planeten, die aufgrund gefährlicher Seuchen, Warp-Korruption oder unbekannter außerirdischer Bedrohungen unter strikte imperiale Isolation gestellt wurden. Ganze Bevölkerungen können abgeschottet oder ausgelöscht werden, um eine Ausbreitung der Gefahr zu verhindern. Das Leben auf solchen Welten ist trostlos, geprägt von ständiger Überwachung, harten Lebensbedingungen und kaum vorhandener Hoffnung auf Flucht.",BS|Int,S,3|9,Fieldcraft,8+1d5,
imperial,16,Imperial World,Imperiale Welt,imperial.png,"Imperial worlds are the backbone of the Imperium, serving as hubs of population, industry, and governance. They vary greatly in culture and development but remain unified by loyalty to the Emperor and the rule of the Adeptus Terra. Their people are often hardworking and devout, ready to serve in the Imperial Guard or other branches of the Imperium’s vast bureaucracy.","Imperiale Welten sind das Rückgrat des Imperiums und dienen als Zentren für Bevölkerung, Industrie und Verwaltung. Ihre Kultur und Entwicklung variieren stark, aber sie sind durch ihre Loyalität zum Imperator und die Herrschaft des Adeptus Terra vereint. Die Menschen dort sind oft fleißig und fromm, bereit, in der Imperialen Armee oder anderen Zweigen der riesigen imperialen Bürokratie zu dienen.",WP|Per,Int,3|10,WP,8+1d5,
voidstation,17,Void Station,Raumstation,voidstation.png,"Void stations are massive, self-sustaining installations located in the cold void of space. They serve as trade hubs, military outposts, research facilities, or even isolated colonies. Life on a void station is harsh and isolated, with limited resources and constant maintenance needed to keep the station operational in the unforgiving expanse of the galaxy.","Raumstationen sind riesige, autarke Einrichtungen im kalten, leeren Raum. Sie dienen als Handelszentren, militärische Außenposten, Forschungseinrichtungen oder sogar als isolierte Kolonien. Das Leben auf einer Raumstation ist hart und isoliert, geprägt von begrenzten Ressourcen und der ständigen Notwendigkeit, die Station in der unerbittlichen Weite der Galaxis betriebsfähig zu halten.",Ag|Fel,BS,3|8,Ag,7+1d5,
fortress,18,Fortress World,Festungswelt,fortress.png,"Fortress worlds are heavily militarized planets fortified to defend vital Imperial territories. They are home to massive defensive structures, countless regiments of the Imperial Guard, and planetary defense forces. Life revolves around constant military readiness, harsh discipline, and endless preparations for war against any enemy threatening the Imperium.","Festungswelten sind stark militarisierte Planeten, die zur Verteidigung wichtiger imperialer Gebiete befestigt wurden. Sie beherbergen gewaltige Verteidigungsanlagen, unzählige Regimenter der Imperialen Armee und planetare Verteidigungskräfte. Das Leben dreht sich um ständige militärische Bereitschaft, harte Disziplin und endlose Kriegsvorbereitungen gegen jede Bedrohung, die das Imperium gefährden könnte.",BS|WP,Fel,3|9,BS,9+1d5,
explorator_fleet,19,Explorator Fleet,Exploratorflotte,explorator_fleet.png,"Explorator fleets are vast armadas of starships commanded by the Adeptus Mechanicus, tasked with seeking out lost technology, forgotten worlds, and ancient relics of the Imperium. They venture into unknown and hostile regions of the galaxy, guided by a mix of scientific curiosity, religious zeal, and the relentless pursuit of technological knowledge.","Exploratorflotten sind gewaltige Raumflotten unter dem Kommando des Adeptus Mechanicus. Ihre Aufgabe ist es, verlorene Technologien, vergessene Welten und antike Relikte des Imperiums aufzuspüren. Sie erkunden unbekannte und feindliche Regionen der Galaxis, angetrieben von einer Mischung aus wissenschaftlicher Neugier, religiösem Eifer und dem unermüdlichen Streben nach technologischem Wissen.",Int|Per,Fel,3|3,Int,8+1d5,
mining,20,Mining World,Bergbauwelt,mining.png,"Mining worlds are resource-rich planets dedicated entirely to extracting valuable minerals, metals, and other essential materials for the Imperium’s endless wars and industry. The population consists mostly of laborers living harsh, dangerous lives under brutal working conditions. Accidents, toxic environments, and corporate exploitation are common.","Bergbauwelten sind ressourcenreiche Planeten, die ausschließlich dem Abbau wertvoller Mineralien, Metalle und anderer wichtiger Rohstoffe für die Kriegsführung und Industrie des Imperiums dienen. Die Bevölkerung besteht hauptsächlich aus Arbeitern, die unter harten und gefährlichen Bedingungen leben und arbeiten. Unfälle, giftige Umgebungen und Ausbeutung durch Konzerne sind an der Tagesordnung.",Per|T,Int,2|3,Per,8+1d5,
knight,21,Knight World,Ritterwelt,knight.png,"Knight worlds are feudal planets ruled by noble houses sworn to the Imperium. They are home to colossal war machines known as Imperial Knights, piloted by the planet’s ruling elite. The population consists of peasants and vassals who support the Knights' households through farming, crafting, and maintaining the mighty war engines.","Ritterwelten sind feudale Planeten, die von Adelsgeschlechtern regiert werden, die dem Imperium die Treue geschworen haben. Sie sind die Heimat gewaltiger Kriegsmaschinen, der sogenannten Imperialen Ritter, die von der herrschenden Elite gesteuert werden. Die Bevölkerung besteht aus Bauern und Vasallen, die die Haushalte der Ritter durch Landwirtschaft, Handwerk und die Wartung der mächtigen Kriegsmaschinen unterstützen.",S|WS,WP,3|9,WS,8+1d5,
industrial,22,Industrial World,Industriewelt,industrial.png,"Industrial worlds are planets dominated by massive factories, foundries, and manufacturing complexes. They produce vast quantities of war materials, machinery, and goods essential for the Imperium’s survival. The environment is often polluted and hazardous, with the population living in harsh, regimented conditions as expendable labor for the planet’s relentless production demands.","Industriewelten sind Planeten, die von riesigen Fabriken, Gießereien und Produktionskomplexen beherrscht werden. Sie stellen enorme Mengen an Kriegsmaterial, Maschinen und Gütern her, die für das Überleben des Imperiums unerlässlich sind. Die Umwelt ist oft verschmutzt und gefährlich, und die Bevölkerung lebt unter harten, streng geregelten Bedingungen als austauschbare Arbeitskraft für die unermüdlichen Produktionsanforderungen des Planeten.",S|T,Int,2|8,T,10+1d5,
pleasure,23,Pleasure World,Vergnügungswelt,pleasure.png,"Pleasure worlds are idyllic planets reserved for the wealthy, powerful, and influential members of the Imperium. These worlds offer luxurious environments, from pristine beaches and serene forests to opulent palaces. Life is centered around relaxation, entertainment, and indulgence, providing a temporary escape from the grim realities of the galaxy.","Vergnügungswelten sind idyllische Planeten, die den Reichen, Mächtigen und einflussreichen Persönlichkeiten des Imperiums vorbehalten sind. Diese Welten bieten luxuriöse Umgebungen, von unberührten Stränden und friedlichen Wäldern bis hin zu prunkvollen Palästen. Das Leben dreht sich um Entspannung, Unterhaltung und Genuss und bietet einen vorübergehenden Rückzugsort vor den düsteren Realitäten der Galaxis.",Fel|WP,Per,2|6,Fel,8+1d5,
cardinal,24,Cardinal World,Kardinalswelt,cardinal.png,"Cardinal worlds are sacred planets ruled by the Ecclesiarchy, serving as religious centers of faith and administration for the Imperial Cult. They are home to grand cathedrals, vast monasteries, and countless clergy. Pilgrims from across the galaxy flock to these worlds seeking spiritual guidance and divine blessings.","Kardinalswelten sind heilige Planeten, die von der Ekklesiarchie regiert werden und als religiöse Zentren des Glaubens und der Verwaltung für den imperialen Kult dienen. Sie beherbergen prächtige Kathedralen, riesige Klöster und unzählige Geistliche. Pilger aus der gesamten Galaxis strömen zu diesen Welten, um spirituelle Führung und göttlichen Segen zu suchen.",Fel|WP,Per,3|6,WP,7+1d5,
cemetery,25,Cemetery World,Friedhofswelt,cemetery.png,"Cemetery worlds are planets dedicated entirely to the burial of the dead, often those who have served the Imperium with honor. Vast necropolises, mausoleums, and endless graveyards cover the surface. These worlds are sacred sites, guarded and maintained by the Ecclesiarchy and protected from desecration by Imperial forces.","Friedhofswelten sind Planeten, die vollständig der Bestattung der Toten gewidmet sind, oft jener, die dem Imperium ehrenvoll gedient haben. Die Oberfläche ist von riesigen Nekropolen, Mausoleen und endlosen Friedhöfen bedeckt. Diese Welten sind heilige Stätten, die von der Ekklesiarchie verwaltet und von imperialen Streitkräften vor Entweihung geschützt werden.",Fel|WP,Per,3|6,WP,7+1d5,
war,26,War World,Kriegswelt,war.png,"War worlds are planets consumed entirely by constant warfare. They serve as battlefronts where Imperial forces clash with enemies of the Imperium or fight brutal civil wars. The entire planet’s infrastructure is centered around the war effort, and its inhabitants are either soldiers, war laborers, or casualties of endless conflict.","Kriegswelten sind Planeten, die vollständig von unaufhörlichen Kriegen beherrscht werden. Sie dienen als Schlachtfelder, auf denen imperiale Streitkräfte gegen die Feinde des Imperiums oder in erbitterten Bürgerkriegen kämpfen. Die gesamte Infrastruktur des Planeten ist auf die Kriegsführung ausgerichtet, und die Bewohner sind entweder Soldaten, Kriegsarbeiter oder Opfer des endlosen Konflikts.",Ag|Per,T,3|10,Per,8+1d5,
