ID,NAME,NAME_DE,IMAGE,Aptitudes,Description,Descritpion_DE,Talents,AName,ADesc,ANameDe,ADescDe
enforcer,Enforcer,Vollstrecker,enforcer.png,"Strength, Toughness, Weapon Skill, Ballistic Skill, Offense","An enforcer is a lawkeeper and executor of authority, tasked with maintaining order and suppressing dissent. Operating in the dangerous and chaotic environments of the Imperium, they rely on intimidation, combat skills, and a strong sense of duty to impose the Emperor's justice and uphold societal stability.","Ein Vollstrecker ist ein Gesetzeshüter und Ausführer von Autorität, dessen Aufgabe es ist, Ordnung aufrechtzuerhalten und Aufstände zu unterdrücken. In den gefährlichen und chaotischen Umgebungen des Imperiums agierend, verlassen sie sich auf Einschüchterung, Kampffähigkeiten und einen starken Sinn für Pflicht, um die Gerechtigkeit des Imperators durchzusetzen und die Stabilität der Gesellschaft zu wahren.",Quick Draw or Disarm,De-escalation Expert,"In addition to the normal uses of Fate Points, an Enforcer character may spend a Fate Point to automatically pass a Disarm, Double Team or Takedown action, with a number of degrees of success equal to his Weapon Skill Bonus.",Experte für Deeskalation,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Vollstrecker einen Schicksalspunkt ausgeben, um eine Entwaffnen-, Doppelschlag- oder Niederschlagsaktion automatisch zu bestehen, mit einer Anzahl von Erfolgsgraden, die seinem Waffenfertigkeitsbonus entspricht."
engineer,Engineer,Ingenieur,engineer.png,"Tech, Strength, Toughness, Intelligence, Perception","An engineer is a highly skilled individual responsible for designing, building, and maintaining complex systems, machinery, and structures. They play a vital role in the Imperium, ensuring that its vast array of technologies, vehicles, and infrastructures function properly, often combining technical expertise with creativity and problem-solving skills.","Ein Ingenieur ist eine hochqualifizierte Person, die für die Planung, den Bau und die Wartung komplexer Systeme, Maschinen und Strukturen verantwortlich ist. Sie spielen eine entscheidende Rolle im Imperium, indem sie sicherstellen, dass die Vielzahl an Technologien, Fahrzeugen und Infrastrukturen ordnungsgemäß funktioniert, und kombinieren dabei technisches Wissen mit Kreativität und Problemlösungskompetenz.",Resistance (Any One) or Weapon Tech,Rites of Rewiring,"In addition to the normal use of Fate Points, an Engineer character may spend a Fate Point to automatically pass a Repair test with a number of Degrees of Success equal to his Intelligence Bonus.",Riten der Neuverdrahtung,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Ingenieur einen Schicksalspunkt ausgeben, um eine Reparaturprobe automatisch zu bestehen, mit einer Anzahl von Erfolgsgraden, die seinem Intelligenzbonus entspricht."
explorator,Explorator,Explorator,explorator.png,"Tech, Intelligence, Perception, Ballistic Skill, Finesse","An explorator is a member of the Adeptus Mechanicus tasked with venturing into the unknown to uncover lost technologies, forgotten knowledge, and resources for the Imperium. Equipped with advanced tools, cybernetics, and a zealous devotion to the Machine God, they lead expeditions into uncharted territories, alien ruins, or ancient battlefields to recover treasures of the past.","Ein Explorator ist ein Mitglied des Adeptus Mechanicus, dessen Aufgabe es ist, in das Unbekannte vorzustoßen, um verlorene Technologien, vergessenes Wissen und Ressourcen für das Imperium zu entdecken. Ausgestattet mit fortschrittlichen Werkzeugen, Kybernetiken und einem glühenden Glauben an den Maschinengott führen sie Expeditionen in unerforschte Gebiete, fremde Ruinen oder alte Schlachtfelder, um die Schätze der Vergangenheit zu bergen.",Technical Knock or Keen Intuition,The Quest for Knowledge,"In addition to the normal uses of Fate Points, an Explorator character may spend a Fate Point to automatically pass an Investigative Skill during the pursuit of an Explication. If degrees of success are required, the success is counted as having rolled a 01.",Die Suche nach Wissen,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Explorator einen Schicksalspunkt ausgeben, um automatisch eine Ermittlungsskill-Probe während der Verfolgung einer Erklärung zu bestehen. Wenn Erfolgsgrade erforderlich sind, wird der Erfolg so gewertet, als hätte er eine 01 gewürfelt."
fanatic,Fanatic,Fanatiker,fanatic.png,"Leadership, Offense, Toughness, Weapon Skill, Willpower","A fanatic is an individual driven by unwavering devotion to a cause, belief, or figure, often to the point of obsession. Their zeal makes them fearless and unrelenting, willing to sacrifice everything in the name of their faith or mission, making them both inspiring and dangerous to those around them.","Ein Fanatiker ist eine Person, die von unerschütterlicher Hingabe an eine Sache, einen Glauben oder eine Figur getrieben wird, oft bis zur Besessenheit. Ihr Eifer macht sie furchtlos und unnachgiebig, bereit, alles im Namen ihres Glaubens oder ihrer Mission zu opfern, was sie sowohl inspirierend als auch gefährlich für ihre Umgebung macht.",Deny the Witch or Jaded,Death to All Who Oppose Me!,"In addition to the normal uses of Fate points a Fanatic character may spend a Fate point to count as having the Hatred talent against his current foe for the duration of the encounter. Should he choose to leave combat against a Hated foe in that encounter, however, he gains 1 Insanity point.","Tod allen, die sich mir widersetzen!","Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Fanatiker-Charakter einen Schicksalspunkt ausgeben, um für die Dauer des Konflikts als im Besitz des Talents Hass gegen seinen aktuellen Feind zu gelten. Sollte er sich jedoch entscheiden, den Kampf gegen einen gehassten Feind in diesem Konflikt zu verlassen, erhält er 1 Wahnsinnspunkt."
grunt,Grunt,Fußsoldat,grunt.png,"Toughness, Defense, Fieldcraft, Strength, Willpowe","A grunt is a basic infantry soldier, often tasked with the toughest and most dangerous jobs on the frontlines. Lacking specialization but equipped with resilience and determination, they serve as the backbone of any military force, enduring harsh conditions and following orders without question.","Ein Fußsoldat ist ein einfacher Infanteriesoldat, der oft mit den härtesten und gefährlichsten Aufgaben an der Front betraut wird. Ohne Spezialisierung, aber mit Widerstandskraft und Entschlossenheit, bilden sie das Rückgrat jeder militärischen Einheit, trotzen widrigen Bedingungen und führen Befehle ohne Zögern aus.",Sound Constitution or Jaded,Resilient to Harm,"A grunt character reduces all sources of damage by -1 for every ten wounds he possesses. In addition to the normal use of Fate Points, a Grunt character may spend a Fate Point to reduce the damage from a single source of damage by half.",Widerstandsfähig gegen Schaden,"Ein Fußsoldat reduziert alle Schadensquellen um -1 für jeweils zehn Lebenspunkte, die er besitzt. Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Fußsoldat einen Schicksalspunkt ausgeben, um den Schaden aus einer einzigen Schadensquelle um die Hälfte zu reduzieren."
hierophant,Hierophant,Hierophant,hierophant.png,"Fellowship, Offence, Social, Toughness, Willpower","A hierophant is a charismatic and devout figure who acts as a preacher and guide, spreading the faith and teachings of the Emperor or their chosen creed. They inspire others through their words and deeds, rallying the faithful to action and serving as a living embodiment of their beliefs.","Ein Hierophant ist eine charismatische und gläubige Persönlichkeit, die als Prediger und Führer auftritt und den Glauben und die Lehren des Imperators oder ihres gewählten Credos verbreitet. Durch Worte und Taten inspirieren sie andere, mobilisieren die Gläubigen zum Handeln und dienen als lebendige Verkörperung ihrer Überzeugungen.",Double Team or Hatred (Pick One),Sway the Masses,"In addition to the normal uses of Fate points, a Hierophant character may spend a Fate point to automatically succeed at a Charm, Command, or Intimidate skill test with a number of degrees of success equal to his Willpower bonus.",Die Massen beeinflussen,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Hierophant-Charakter einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Überreden, Befehlen oder Einschüchtern mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Willenskraftbonus entspricht."
infiltrator,Infiltrator,Infiltrator,infiltrator.png,"Fellowship, Intelligence, Tech, Fieldcraft, Perception","An infiltrator is a stealthy and cunning individual trained to penetrate enemy lines, gain access to secure areas, or gather critical intelligence. Using deception, disguise, and precision, they excel at operating undetected, completing their objectives without drawing attention.","Ein Infiltrator ist eine heimliche und gerissene Person, die darin ausgebildet ist, feindliche Linien zu durchdringen, sich Zugang zu gesicherten Bereichen zu verschaffen oder wichtige Informationen zu sammeln. Mit Täuschung, Tarnung und Präzision agieren sie unauffällig und erfüllen ihre Aufgaben, ohne Aufmerksamkeit zu erregen.",Sprint or Weapon-Tech,A Thousand Faces,"In addition to the normal use of Fate Points, an Infiltrator may spend a Fate Point to perfectly imitate the appearance, speech, and mannerisms of any one person. The effects of this last for ten minutes in narrative time.",Tausend Gesichter,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Infiltrator einen Schicksalspunkt ausgeben, um das Aussehen, die Sprache und die Manierismen einer beliebigen Person perfekt zu imitieren. Dieser Effekt hält in erzählerischer Zeit zehn Minuten an."
investigator,Investigator,Ermittler,investigator.png,"Fellowship, Perception, Intelligence, Fieldcraft, Tech or Social","An investigator is a keen and methodical individual trained to uncover hidden truths, solve mysteries, and piece together evidence. Skilled in observation, interrogation, and research, they navigate complex scenarios to expose secrets, track down culprits, and unravel conspiracies.","Ein Ermittler ist eine scharfsinnige und methodische Person, die darauf spezialisiert ist, verborgene Wahrheiten aufzudecken, Rätsel zu lösen und Beweise zusammenzutragen. Versiert in Beobachtung, Verhör und Recherche, navigieren sie durch komplexe Szenarien, um Geheimnisse zu enthüllen, Täter aufzuspüren und Verschwörungen aufzudecken.",Resistance (Fear) or Clues from the Crowd,Accustomed to Deception,"In addition to the normal uses of Fate Points, an Investigator character may spend a Fate Point to automatically succeed at a Scrutiny or Deceive skill test with a number of degrees of success equal to his Intelligence bonus.",Gewohnt an Täuschung,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Ermittler einen Schicksalspunkt ausgeben, um automatisch eine Fertigkeitsprobe in Beobachten oder Täuschen mit einer Anzahl von Erfolgsgraden zu bestehen, die seinem Intelligenzbonus entspricht."
juve,Juve,Jungspund,juve.png,"Strength, Toughness, Weapon Skill or Ballistic Skill, Agility, Fieldcraft","A juve is a young and inexperienced individual, often seen in gang culture or lower hive societies, learning the ropes and fighting to prove themselves. While lacking in skill and experience, juves are eager, ambitious, and determined to rise in the ranks, often serving as runners, lookouts, or apprentices to more seasoned members.","Ein Jungspund ist eine junge und unerfahrene Person, oft in Gangkulturen oder den unteren Gesellschaftsschichten der Makropolen anzutreffen, die versucht, sich zu beweisen und ihre Fähigkeiten zu entwickeln. Obwohl es an Fertigkeiten und Erfahrung mangelt, sind Jungspunde ehrgeizig, eifrig und entschlossen, in den Rängen aufzusteigen, oft als Läufer, Wachposten oder Lehrlinge erfahrener Mitglieder.",Catfall or Leap Up,Quick to learn,"In addition to the normal use of Fate Points, a Juve character may spend a Fate Point to treat a single skill as Rank 1 (Known) for the duration of an encounter. In narrative time, this lasts for 10 minutes.",Schnell lernfähig,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Jungspund einen Schicksalspunkt ausgeben, um eine einzelne Fertigkeit für die Dauer eines Konflikts als Rang 1 (Bekannt) zu behandeln. In erzählerischer Zeit hält dies 10 Minuten an."
marksman,Marksman,Scharfschütze,marksman.png,"Ballistic Skill, Fieldcraft, Agility, Finesse, Intelligence","A marksman is a highly trained and precise shooter, specializing in long-range combat and pinpoint accuracy. Whether wielding sniper rifles, lasguns, or other ranged weaponry, they excel at eliminating high-value targets and providing cover for their allies with deadly efficiency.","Ein Scharfschütze ist ein hochqualifizierter und präziser Schütze, spezialisiert auf den Fernkampf und punktgenaue Treffer. Ob mit Scharfschützengewehren, Lasergewehren oder anderen Fernkampfwaffen, sie brillieren darin, hochrangige Ziele auszuschalten und ihren Verbündeten mit tödlicher Effizienz Deckung zu geben.",Quick Draw or Rapid Reload,Weapon Specialist,"In addition to the normal uses of Fate Points, a marksman character may spend a Fate Point to reduce the effective range a target is considered by one level, making a target at Long Range treated as Normal Range, etc.",Waffenspezialist,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Scharfschütze einen Schicksalspunkt ausgeben, um die effektive Reichweite eines Ziels um eine Stufe zu reduzieren, sodass ein Ziel auf großer Distanz als normale Distanz behandelt wird usw."
mystic,Mystic,Mystiker,mystic.png,"Defence, Intelligence, Knowledge, Perception, Willpower","A mystic is an individual attuned to the unseen forces of the universe, often wielding psychic abilities or deeply understanding esoteric knowledge. Guided by visions, intuition, or communion with the Warp, they are enigmatic figures whose powers can inspire awe or fear, depending on their intent and control over the forces they channel.","Ein Mystiker ist eine Person, die auf die verborgenen Kräfte des Universums eingestimmt ist und oft über psionische Fähigkeiten verfügt oder ein tiefes Verständnis für esoterisches Wissen besitzt. Geleitet von Visionen, Intuition oder der Verbindung mit dem Warp, sind sie rätselhafte Gestalten, deren Kräfte Ehrfurcht oder Furcht wecken können, je nach ihrer Absicht und Kontrolle über die Kräfte, die sie kanalisieren.",Resistance (Psychic Powers) or Warp Sense,ToDo,ToDo,ToDo,ToDo
operative,Operative,Operative,operative.png,"Intelligence, Tech, Fieldcraft, Perception, Agility","An operative is a versatile and highly trained individual tasked with carrying out covert missions, intelligence gathering, or specialized operations. They excel in adaptability, stealth, and efficiency, making them invaluable for assignments that require precision and discretion in hostile or complex environments.","Ein Operative ist eine vielseitige und hochqualifizierte Person, die mit der Durchführung verdeckter Missionen, der Beschaffung von Informationen oder spezialisierten Einsätzen betraut ist. Sie zeichnen sich durch Anpassungsfähigkeit, Heimlichkeit und Effizienz aus und sind daher unverzichtbar für Aufträge, die Präzision und Diskretion in feindlichen oder komplexen Umgebungen erfordern.",Technical Knock or Weapon-Tech,In the Knick of time,"Once per encounter, an Operative character gains 1 additional Half Action in addition to their normal actions for a single Round. In addition to the normal use of Fate Points, an Operative may spend a Fate Point to gain an additional Half Action in the same turn.",Im letzten Moment,"Einmal pro Begegnung erhält ein Operative-Charakter eine zusätzliche Halbe Aktion zusätzlich zu seinen normalen Aktionen für eine einzige Runde. Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Operative einen Schicksalspunkt ausgeben, um in derselben Runde eine weitere Halbe Aktion zu erhalten."
penitent,Penitent,Büßer,penitent.png,"Agility, Fieldcraft, Intelligence, Offense, Toughness","A penitent is an individual seeking redemption for their perceived sins or failures, often through acts of extreme devotion, suffering, or sacrifice. They carry the weight of guilt and strive to prove their loyalty and worthiness to the Emperor or their faith, sometimes enduring brutal trials or taking on suicidal missions in their pursuit of absolution.","Ein Büßer ist eine Person, die Vergebung für ihre vermeintlichen Sünden oder Versagen sucht, oft durch extreme Hingabe, Leiden oder Opferbereitschaft. Sie tragen die Last der Schuld und bemühen sich, ihre Loyalität und Würdigkeit gegenüber dem Imperator oder ihrem Glauben zu beweisen, indem sie manchmal brutale Prüfungen erdulden oder selbstmörderische Missionen übernehmen, um Erlösung zu finden.",Die Hard or Flagellant,Cleansing Pain,"Whenever a Penitent character suffers 1 or more points of damage (after reductions for Toughness bonus and Armor), he gains a +10 bonus to the first test he makes before the end of his next turn.",Reinigender Schmerz,"Immer wenn ein Büßer-Charakter 1 oder mehr Schadenspunkte erleidet (nach Abzug von Zähigkeitsbonus und Rüstung), erhält er einen Bonus von +10 auf die erste Probe, die er vor dem Ende seines nächsten Zuges ablegt."
politico,Politico,Politiker,Politico.png,"Fellowship, Finesse, Willpower, Social, Intelligence","A politico is a skilled manipulator and strategist, deeply entrenched in the art of politics and intrigue. Whether influencing decisions, forming alliances, or scheming in the shadows, they wield words and influence as weapons, shaping the course of events to serve their ambitions or the greater goals of their faction.","Ein Politiker ist ein geschickter Manipulator und Stratege, der die Kunst der Politik und Intrigen meisterlich beherrscht. Ob sie Entscheidungen beeinflussen, Allianzen schmieden oder im Schatten Pläne schmieden, sie setzen Worte und Einfluss als Waffen ein, um den Verlauf der Ereignisse zu ihren Gunsten oder im Interesse ihrer Fraktion zu gestalten.",Archivator or Lexographer,Scandalous Socialite,"In addition to the normal uses of Fate Points, a Politico character may spend a Fate point to upgrade or downgrade the Disposition of his target by 2 ranks. This effect lasts for one Skill Test made by the target.",Skandalöser Gesellschaftsmensch,"Zusätzlich zu den normalen Verwendungen von Schicksalspunkten kann ein Politico-Charakter einen Schicksalspunkt ausgeben, um die Haltung seines Ziels um 2 Stufen zu verbessern oder zu verschlechtern. Dieser Effekt hält für eine Fertigkeitsprobe des Ziels an."
